"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"AGUAS DA CURIA";"PTCUR0AP0000";"CUR";"Euronext Access Lisbon";"EUR";"1.17";"1.17";"1.17";"1.17";"06/09/2017 20:30";"BST";"32";"37.44"
"AHOLD DEL";"NL0011794037";"AD";"Euronext Amsterdam, Brussels";"EUR";"17.748";"17.786";"17.44";"17.634";"14/02/2018 17:35";"CET";"5047256";"89028713.712"
"AIR FRANCE -KLM";"FR0000031122";"AF";"Euronext Paris, Amsterdam";"EUR";"10.345";"10.75";"10.31";"10.645";"14/02/2018 17:35";"CET";"4909856";"51782182.01"
"AIR LIQUIDE";"FR0000120073";"AI";"Euronext Paris";"EUR";"98.50";"99.24";"97.12";"98.60";"14/02/2018 17:39";"CET";"1691742";"166481926.70"
"AIR MARINE";"FR0013285103";"MLAIM";"Euronext Access Paris";"EUR";"5.65";"5.65";"5.65";"5.65";"14/02/2018 11:30";"CET";"110";"621.50"
"AIRBUS";"NL0000235190";"AIR";"Euronext Paris";"EUR";"83.92";"84.48";"81.33";"84.17";"14/02/2018 17:38";"CET";"2325684";"194041177.35"
"AJAX";"NL0000018034";"AJAX";"Euronext Amsterdam";"EUR";"10.30";"10.30";"10.20";"10.30";"14/02/2018 17:28";"CET";"986";"10125.40"
"AKKA TECHNOLOGIES";"FR0004180537";"AKA";"Euronext Paris";"EUR";"54.00";"54.50";"52.50";"53.20";"14/02/2018 17:35";"CET";"42191";"2268219.50"
"AKZO NOBEL";"NL0000009132";"AKZA";"Euronext Amsterdam";"EUR";"77.18";"77.68";"76.20";"77.12";"14/02/2018 17:35";"CET";"679358";"52317033.74"
"ALBIOMA";"FR0000060402";"ABIO";"Euronext Paris";"EUR";"20.00";"20.25";"20.00";"20.20";"14/02/2018 17:35";"CET";"29585";"596003.65"
"ALD";"FR0013258662";"ALD";"Euronext Paris";"EUR";"13.50";"14.30";"13.50";"14.19";"14/02/2018 17:35";"CET";"431398";"6039035.01"
"ALES GROUPE";"FR0000054652";"ALPHY";"Euronext Growth Paris";"EUR";"8.94";"9.00";"8.80";"8.80";"14/02/2018 17:28";"CET";"1854";"16451.40"
"ALPES (COMPAGNIE)";"FR0000053324";"CDA";"Euronext Paris";"EUR";"32.05";"33.20";"32.00";"33.10";"14/02/2018 17:35";"CET";"12641";"414196.05"
"ALPHA MOS";"FR0000062804";"ALM";"Euronext Paris";"EUR";"0.448";"0.468";"0.442";"0.445";"14/02/2018 17:35";"CET";"33365";"14946.814"
"ALSTOM";"FR0010220475";"ALO";"Euronext Paris";"EUR";"33.21";"33.41";"32.79";"33.18";"14/02/2018 17:35";"CET";"736656";"24438959.63"
"ALTAMIR";"FR0000053837";"LTA";"Euronext Paris";"EUR";"14.94";"15.02";"14.88";"15.02";"14/02/2018 17:35";"CET";"11637";"173984.42"
"ALTAREA";"FR0000033219";"ALTA";"Euronext Paris";"EUR";"197.00";"197.40";"196.20";"197.00";"14/02/2018 17:35";"CET";"3874";"763016.00"
"ALTAREIT";"FR0000039216";"AREIT";"Euronext Paris";"EUR";"282.00";"282.00";"282.00";"282.00";"14/02/2018 11:30";"CET";"1";"282.00"
"ALTEN";"FR0000071946";"ATE";"Euronext Paris";"EUR";"76.95";"77.65";"76.50";"77.25";"14/02/2018 17:35";"CET";"42405";"3274405.50"
"ALTICE";"NL0011333752";"ATC";"Euronext Amsterdam";"EUR";"7.576";"8.016";"7.534";"7.884";"14/02/2018 17:35";"CET";"7116445";"56114400.454"
"ALTICE B";"NL0011333760";"ATCB";"Euronext Amsterdam";"EUR";"7.525";"8.01";"7.525";"7.86";"14/02/2018 17:36";"CET";"235581";"1860838.075"
"ALTRAN TECHN.";"FR0000034639";"ALT";"Euronext Paris";"EUR";"14.29";"14.52";"14.28";"14.46";"14/02/2018 17:35";"CET";"402746";"5808792.19"
"ALTRI SGPS";"PTALT0AE0002";"ALTR";"Euronext Lisbon";"EUR";"4.47";"4.47";"4.38";"4.41";"14/02/2018 22:39";"BST";"242175";"1068961.215"
"ALTUR INVEST.";"FR0010395681";"ALTUR";"Euronext Paris";"EUR";"5.90";"6.06";"5.86";"6.06";"14/02/2018 17:17";"CET";"38649";"233564.08"
"ALUMEXX N.V.";"NL0012194724";"ALX";"Euronext Amsterdam";"EUR";"2.35";"2.38";"2.28";"2.32";"14/02/2018 17:18";"CET";"18559";"43523.80"
"ALVEEN";"FR0013253812";"MLALV";"Euronext Access Paris";"EUR";"0.8664";"0.8699";"0.8664";"0.8699";"14/02/2018 16:30";"CET";"20";"17.363"
"AMATHEON AGRI";"NL0010273694";"MLAAH";"Euronext Access Paris";"EUR";"0.46";"0.46";"0.46";"0.46";"14/02/2018 11:30";"CET";"1";"0.46"
"AMG";"NL0000888691";"AMG";"Euronext Amsterdam";"EUR";"39.36";"40.96";"38.76";"40.76";"14/02/2018 17:35";"CET";"257603";"10325232.14"
"AMOEBA";"FR0011051598";"AMEBA";"Euronext Paris";"EUR";"16.26";"16.50";"16.12";"16.50";"14/02/2018 17:35";"CET";"7515";"122776.62"
"AMPLITUDE SURGICAL";"FR0012789667";"AMPLI";"Euronext Paris";"EUR";"3.00";"3.18";"2.99";"3.02";"14/02/2018 17:35";"CET";"107629";"330871.61"
"AMSTERDAM COMMOD.";"NL0000313286";"ACOMO";"Euronext Amsterdam";"EUR";"22.90";"23.15";"22.50";"23.10";"14/02/2018 17:35";"CET";"27333";"624976.25"
"AMUNDI";"FR0004125920";"AMUN";"Euronext Paris";"EUR";"68.10";"68.18";"67.16";"67.72";"14/02/2018 17:35";"CET";"209991";"14214168.64"
"AND INTERNATIONAL";"NL0000430106";"AND";"Euronext Amsterdam";"EUR";"6.16";"6.20";"6.10";"6.10";"14/02/2018 16:27";"CET";"1250";"7700.00"
"ANEVIA";"FR0011910652";"ALANV";"Euronext Growth Paris";"EUR";"2.89";"2.90";"2.89";"2.89";"14/02/2018 11:10";"CET";"311";"900.79"
"ANEVIA BS";"FR0013268091";"ANVBS";"Euronext Growth Paris";"EUR";"0.0125";"0.0415";"0.0125";"0.0415";"14/02/2018 16:04";"CET";"105";"2.0375"
"ANF IMMOBILIER";"FR0000063091";"ANF";"Euronext Paris";"EUR";"21.10";"21.50";"21.10";"21.35";"14/02/2018 17:35";"CET";"1496";"31949.30"
"ANTALIS INTERNATIO";"FR0013258589";"ANTA";"Euronext Paris";"EUR";"1.866";"1.878";"1.85";"1.852";"14/02/2018 17:35";"CET";"11021";"20514.836"
"ANTARES CERT";"BE0003676872";"ANT";"Euronext Brussels";"EUR";"52.50";"52.50";"51.75";"51.75";"07/02/2018 16:30";"CET";"164";"8550.00"
"ANTEVENIO";"ES0109429037";"ALANT";"Euronext Growth Paris";"EUR";"7.98";"7.98";"7.90";"7.90";"14/02/2018 15:55";"CET";"576";"4562.78"
"AP ALTERNAT ASSETS";"GB00B15Y0C52";"AAA";"Euronext Amsterdam";"USD";"13.75";"14.19";"13.70";"14.15";"14/02/2018 16:33";"CET";"30062";"418646.93"
"APERAM";"LU0569974404";"APAM";"Euronext Amsterdam, Brussels, Paris";"EUR";"43.76";"44.20";"43.12";"43.75";"14/02/2018 17:35";"CET";"358027";"15638182.09"
"APRIL";"FR0004037125";"APR";"Euronext Paris";"EUR";"15.00";"15.00";"14.90";"14.90";"14/02/2018 17:29";"CET";"2848";"42508.90"
"APRIL GROUP NV18";"FR0013306172";"APRNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"AQUILA";"FR0010340711";"ALAQU";"Euronext Growth Paris";"EUR";"7.10";"7.10";"7.10";"7.10";"14/02/2018 11:30";"CET";"360";"2556.00"
"ARCADIS";"NL0006237562";"ARCAD";"Euronext Amsterdam";"EUR";"17.51";"17.68";"17.37";"17.64";"14/02/2018 17:35";"CET";"169311";"2975072.09"
"ARCELORMITTAL SA";"LU1598757687";"MT";"Euronext Amsterdam, Paris";"EUR";"27.59";"28.125";"26.965";"27.86";"14/02/2018 17:39";"CET";"7488300";"206788773.71"
"ARCHOS";"FR0000182479";"JXR";"Euronext Paris";"EUR";"0.741";"0.741";"0.722";"0.73";"14/02/2018 17:29";"CET";"86162";"62914.639"
"ARCHOS BSAR 2018";"FR0013279692";"JXRBS";"Euronext Growth Paris";"EUR";"0.02";"0.0208";"0.0172";"0.0196";"14/02/2018 16:32";"CET";"231929";"4591.6202"
"ARDOIN ST AMAND A";"FR0005057635";"MLARD";"Euronext Access Paris";"EUR";"65.00";"65.00";"65.00";"65.00";"14/02/2018 16:30";"CET";"142";"9230.00"
"ARDOIN ST AMAND B";"FR0004070795";"ARDO";"Euronext Access Paris";"EUR";"80.00";"80.00";"80.00";"80.00";"07/09/2016 15:30";"CET";"4";"320.00"
"ARGAN";"FR0010481960";"ARG";"Euronext Paris";"EUR";"40.10";"40.80";"40.10";"40.40";"14/02/2018 17:35";"CET";"23620";"954237.20"
"ARGENX SE";"NL0010832176";"ARGX";"Euronext Brussels";"EUR";"67.10";"69.00";"66.00";"68.00";"14/02/2018 17:35";"CET";"60140";"4063063.10"
"ARKEMA";"FR0010313833";"AKE";"Euronext Paris";"EUR";"97.82";"99.56";"96.62";"98.78";"14/02/2018 17:37";"CET";"325455";"32017235.38"
"ARKEMA NV18";"FR0013308863";"AKENV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ARTEA";"FR0012185536";"ARTE";"Euronext Paris";"EUR";"8.05";"8.05";"8.05";"8.05";"23/01/2018 11:30";"CET";"212";"1706.60"
"ARTEFACT";"FR0000079683";"ALATF";"Euronext Growth Paris";"EUR";"3.33";"3.40";"3.32";"3.32";"14/02/2018 17:35";"CET";"72320";"241428.77"
"ARTHUR MAURY";"FR0013268067";"MLAMY";"Euronext Access Paris";"EUR";"3.60";"3.60";"3.60";"3.60";"19/01/2018 14:38";"CET";"6600";"23760.00"
"ARTOIS NOM.";"FR0000076952";"ARTO";"Euronext Paris";"EUR";"6550.00";"6550.00";"6550.00";"6550.00";"14/02/2018 16:30";"CET";"2";"13100.00"
"ARTPRICE COM";"FR0000074783";"PRC";"Euronext Paris";"EUR";"14.82";"14.82";"14.50";"14.70";"14/02/2018 17:35";"CET";"20744";"303651.06"
"ARTSNET";"FR0010923433";"MLART";"Euronext Access Paris";"EUR";"0.27";"0.27";"0.25";"0.25";"12/07/2017 16:30";"CET";"8";"2.02"
"ASCENCIO";"BE0003856730";"ASC";"Euronext Brussels";"EUR";"52.80";"53.20";"52.60";"52.60";"14/02/2018 17:35";"CET";"687";"36351.60"
"ASHLER ET MANSON";"FR0012968485";"MLAEM";"Euronext Access Paris";"EUR";"1.48";"1.48";"1.48";"1.48";"25/10/2017 16:30";"CET";"83";"122.84"
"ASIT";"BE0974289218";"ASIT";"Euronext Brussels, Paris";"EUR";"4.30";"4.61";"4.30";"4.45";"14/02/2018 17:28";"CET";"50733";"226883.66"
"ASM INTERNATIONAL";"NL0000334118";"ASM";"Euronext Amsterdam";"EUR";"54.90";"55.84";"54.20";"55.78";"14/02/2018 17:35";"CET";"229558";"12693507.34"
"ASML HOLDING";"NL0010273215";"ASML";"Euronext Amsterdam";"EUR";"150.30";"153.00";"147.85";"152.70";"14/02/2018 17:39";"CET";"1338162";"201915831.15"
"ASR NEDERLAND";"NL0011872643";"ASRNL";"Euronext Amsterdam";"EUR";"34.12";"34.30";"33.70";"34.22";"14/02/2018 17:35";"CET";"264956";"9030567.14"
"ASSICURAZ.GEN.ORD.";"IT0000062072";"GEN";"Traded not listed Brussels";"EUR";"15.125";"15.125";"15.125";"15.125";"09/02/2018 13:50";"CET";"700";"10587.50"
"ASSIMA";"GB00B19RTX44";"ALSIM";"Euronext Growth Paris";"EUR";"2.42";"2.42";"2.42";"2.42";"30/01/2018 16:30";"CET";"150";"363.00"
"ASSYSTEM";"FR0000074148";"ASY";"Euronext Paris";"EUR";"29.90";"30.30";"29.80";"30.30";"14/02/2018 17:35";"CET";"3136";"94332.40"
"ASTELLIA";"FR0004176535";"ALAST";"Euronext Growth Paris";"EUR";"10.25";"10.25";"10.25";"10.25";"12/02/2018 09:00";"CET";"9";"92.25"
"ATARI";"FR0010478248";"ATA";"Euronext Paris";"EUR";"0.717";"0.823";"0.675";"0.822";"14/02/2018 17:36";"CET";"39684229";"29549398.618"
"ATEME";"FR0011992700";"ATEME";"Euronext Paris";"EUR";"18.00";"19.00";"17.90";"18.76";"14/02/2018 17:37";"CET";"66269";"1218905.73"
"ATENOR";"BE0003837540";"ATEB";"Euronext Brussels";"EUR";"47.90";"48.40";"47.70";"48.40";"14/02/2018 17:35";"CET";"1399";"67235.60"
"ATOS";"FR0000051732";"ATO";"Euronext Paris";"EUR";"119.80";"121.10";"118.40";"120.70";"14/02/2018 17:40";"CET";"266325";"32038897.10"
"ATOS NV18";"FR0013306180";"ATONV";"Euronext Paris";"EUR";"117.50";"117.50";"117.50";"117.50";"13/02/2018 11:30";"CET";"30";"3525.00"
"ATRIUM EUR REALEST";"JE00B3DCF752";"ATRS";"Euronext Amsterdam";"EUR";"4.115";"4.115";"4.115";"4.115";"14/02/2018 17:29";"CET";"944";"3884.56"
"AUBAY";"FR0000063737";"AUB";"Euronext Paris";"EUR";"37.00";"38.20";"36.90";"37.95";"14/02/2018 17:35";"CET";"49111";"1857644.95"
"AUDIENCE LABS";"FR0011896463";"MLAUD";"Euronext Access Paris";"EUR";"7.78";"7.78";"7.78";"7.78";"26/05/2017 15:00";"CET";"7";"54.46"
"AUFEMININ";"FR0004042083";"FEM";"Euronext Paris";"EUR";"38.70";"38.70";"38.60";"38.60";"14/02/2018 17:02";"CET";"1089";"42052.90"
"AUGROS COSMETICS";"FR0000061780";"AUGR";"Euronext Paris";"EUR";"4.14";"4.14";"4.14";"4.14";"14/02/2018 11:30";"CET";"210";"869.40"
"AUPLATA";"FR0010397760";"ALAUP";"Euronext Growth Paris";"EUR";"0.1164";"0.1296";"0.1164";"0.1246";"14/02/2018 17:35";"CET";"3813890";"475837.3558"
"AUREA";"FR0000039232";"AURE";"Euronext Paris";"EUR";"8.80";"9.10";"8.74";"8.98";"14/02/2018 17:24";"CET";"9407";"83690.26"
"AURES TECHNOLOGIES";"FR0013183589";"AURS";"Euronext Paris";"EUR";"47.30";"48.85";"46.80";"48.30";"14/02/2018 17:35";"CET";"7798";"375281.75"
"AVANTIUM";"NL0012047823";"AVTX";"Euronext Amsterdam, Brussels";"EUR";"6.00";"6.00";"5.80";"5.89";"14/02/2018 17:35";"CET";"17381";"102734.53"
"AVENIR TELECOM";"FR0000066052";"AVT";"Euronext Paris";"EUR";"0.271";"0.279";"0.268";"0.271";"14/02/2018 17:35";"CET";"658396";"178657.796"
"AVIATION LATECOERE";"FR0000032278";"LAT";"Euronext Paris";"EUR";"4.76";"4.855";"4.725";"4.79";"14/02/2018 17:35";"CET";"148725";"711423.385"
"AWOX";"FR0011800218";"AWOX";"Euronext Paris";"EUR";"2.13";"2.14";"2.06";"2.14";"14/02/2018 17:35";"CET";"12141";"25499.79"
"AXA";"FR0000120628";"CS";"Euronext Paris";"EUR";"24.96";"25.17";"24.725";"24.85";"14/02/2018 17:39";"CET";"7892599";"196517866.18"
"AXA NV18";"FR0013301256";"CSNV";"Euronext Paris";"EUR";"23.52";"23.52";"23.52";"23.52";"14/02/2018 11:30";"CET";"1218";"28647.36"
"AXWAY SOFTWARE";"FR0011040500";"AXW";"Euronext Paris";"EUR";"21.20";"21.25";"21.10";"21.20";"14/02/2018 17:35";"CET";"4291";"90850.90"
"AZ LEASING";"IT0004812258";"MLAZL";"Euronext Access Paris";"EUR";"0.90";"0.90";"0.90";"0.90";"16/11/2017 16:30";"CET";"57";"51.30"
"AZOREAN TECH";"PTAZR0AM0006";"MLAAT";"Euronext Access Paris";"EUR";"0.10";"0.10";"0.10";"0.10";"22/01/2018 11:30";"CET";"4050";"405.00"
"B.COM.PORTUGUES";"PTBCP0AM0015";"BCP";"Euronext Lisbon";"EUR";"0.2974";"0.3054";"0.2951";"0.3048";"14/02/2018 22:38";"BST";"51591987";"15467348.8427"
"BACCARAT";"FR0000064123";"BCRA";"Euronext Paris";"EUR";"218.00";"218.00";"218.00";"218.00";"12/02/2018 16:50";"CET";"22";"4796.00"
"BAINS MER MONACO";"MC0000031187";"BAIN";"Euronext Paris";"EUR";"49.90";"50.00";"49.90";"50.00";"14/02/2018 16:42";"CET";"1605";"80221.20"
"BALTA GROUP";"BE0974314461";"BALTA";"Euronext Brussels";"EUR";"7.60";"7.95";"7.60";"7.72";"14/02/2018 17:35";"CET";"18213";"141047.25"
"BALYO";"FR0013258399";"BALYO";"Euronext Paris";"EUR";"5.95";"6.05";"5.95";"6.04";"14/02/2018 17:35";"CET";"8555";"51296.81"
"BAM GROEP KON";"NL0000337319";"BAMNB";"Euronext Amsterdam";"EUR";"3.78";"3.83";"3.779";"3.814";"14/02/2018 17:35";"CET";"1015664";"3868627.475"
"BANCO BILBAO VIZC.";"ES0113211835";"BBV";"Traded not listed Brussels";"EUR";"6.60";"6.60";"6.60";"6.60";"13/02/2018 16:22";"CET";"500";"3300.00"
"BANCO BPI";"PTBPI0AM0004";"BPI";"Euronext Lisbon";"EUR";"1.24";"1.26";"1.24";"1.258";"14/02/2018 22:35";"BST";"93681";"116947.228"
"BANCO SANTANDER";"ES0113900J37";"SANT";"Euronext Lisbon";"EUR";"5.549";"5.559";"5.456";"5.539";"14/02/2018 22:06";"BST";"38907";"214471.115"
"BANCO SANTANDER";"ES0113900J37";"SANTA";"Traded not listed Brussels";"EUR";"5.66";"5.66";"5.555";"5.555";"14/02/2018 16:44";"CET";"60";"338.025"
"BANIMMO A";"BE0003870871";"BANI";"Euronext Brussels";"EUR";"3.25";"3.27";"3.24";"3.24";"14/02/2018 17:35";"CET";"7520";"24510.00"
"BARBARA BUI";"FR0000062788";"BUI";"Euronext Paris";"EUR";"8.20";"8.20";"8.20";"8.20";"06/02/2018 16:30";"CET";"19";"155.80"
"BARCO";"BE0003790079";"BAR";"Euronext Brussels";"EUR";"100.40";"100.80";"98.60";"99.00";"14/02/2018 17:35";"CET";"12646";"1260452.90"
"BASIC-FIT";"NL0011872650";"BFIT";"Euronext Amsterdam";"EUR";"22.10";"22.10";"21.55";"21.75";"14/02/2018 17:35";"CET";"112567";"2451487.85"
